v,vw,o,c,h,l,t,n
112117471.0,125.725,130.28,125.07,130.9,124.17,1672722000000,1021065
89100633.0,126.6464,126.89,126.36,128.6557,125.08,1672808400000,770042
80716808.0,126.0883,127.13,125.02,127.77,124.76,1672894800000,665458
87754715.0,128.1982,126.01,129.62,130.29,124.89,1672981200000,711520
70790813.0,131.6292,130.465,130.15,133.41,129.89,1673240400000,645365
63896155.0,129.822,130.26,130.73,131.2636,128.12,1673326800000,554940
69458949.0,132.3081,131.25,133.49,133.51,130.46,1673413200000,561278
71379648.0,133.171,133.88,133.41,134.26,131.44,1673499600000,635331
57809719.0,133.6773,132.03,134.76,134.92,131.66,1673586000000,537385
63612627.0,135.7587,134.83,135.94,137.29,134.13,1673931600000,595831
69672800.0,136.3316,136.815,135.21,138.61,135.03,1674018000000,578304
58280413.0,134.9653,134.08,135.27,136.25,133.77,1674104400000,491674
80200655.0,136.3762,135.28,137.87,138.02,134.22,1674190800000,552230
81760313.0,141.2116,138.12,141.11,143.315,137.9,1674450000000,719288
66435142.0,142.0507,140.305,142.53,143.16,140.3,1674536400000,498679
65799349.0,140.7526,140.89,141.86,142.43,138.81,1674622800000,536505
54105068.0,143.3429,143.17,143.96,144.25,141.9,1674709200000,472135
70547743.0,145.8365,143.155,145.93,147.23,143.08,1674795600000,560022
64015274.0,143.6524,144.955,143.0,145.55,142.85,1675054800000,551111
65874459.0,143.6473,142.7,144.29,144.34,142.28,1675141200000,468170
77663426.0,143.8723,143.97,145.43,146.61,141.32,1675227600000,693374
118338980.0,149.3764,148.9,150.82,151.18,148.17,1675314000000,996203
154338835.0,154.2437,148.03,154.5,157.38,147.83,1675400400000,1141350
69771906.0,152.0939,152.575,151.73,153.1,150.78,1675659600000,583517
83322551.0,153.4202,150.64,154.65,155.23,150.64,1675746000000,661767
63620079.0,152.3636,153.88,151.92,154.58,151.168,1675832400000,524140
55994243.0,152.2769,153.775,150.87,154.33,150.42,1675918800000,471973
57388108.0,150.4054,149.46,151.01,151.3401,149.22,1676005200000,443405
62199013.0,153.231,150.952,153.85,154.26,150.92,1676264400000,506668
61664023.0,152.5956,152.12,153.2,153.77,150.86,1676350800000,528566
65665252.0,154.4536,153.11,155.33,155.5,152.88,1676437200000,520574
68167942.0,154.7143,153.51,153.71,156.33,153.3475,1676523600000,516187
59105618.0,152.0451,152.35,152.55,153.0,150.85,1676610000000,468580
58217230.0,149.3501,150.2,148.48,151.3,148.405,1676955600000,509342
51008155.0,148.5494,148.87,148.91,149.95,147.16,1677042000000,429775
48392049.0,148.8407,150.09,149.4,150.34,147.24,1677128400000,425159
55469606.0,146.3861,147.11,146.71,147.19,145.7202,1677214800000,472221
44998470.0,148.1344,147.71,147.92,149.17,147.45,1677474000000,418069
50546998.0,147.7996,147.05,147.41,149.08,146.83,1677560400000,383779
55478991.0,145.868,146.83,145.31,147.2285,145.01,1677646800000,461613
52279761.0,145.1652,144.38,145.91,146.71,143.9,1677733200000,413238
70725339.0,150.0304,148.045,151.03,151.11,147.33,1677819600000,558706
87558028.0,154.6895,153.785,153.83,156.3,153.46,1678078800000,691990
56136378.0,152.2768,153.7,151.6,154.0299,151.13,1678165200000,496631
47204791.0,152.6973,152.81,152.87,153.47,151.83,1678251600000,405203
53833122.0,152.4689,153.559,150.59,154.535,150.225,1678338000000,480909
68559600.0,149.0716,150.21,148.5,150.94,147.6096,1678424400000,611457
84457122.0,151.1835,147.805,150.47,153.14,147.7,1678680000000,760660
72045893.0,152.1061,151.28,152.59,153.4,150.1,1678766400000,565196
77167866.0,151.7861,151.19,152.99,153.245,149.92,1678852800000,703116
76206919.0,154.813,152.16,155.85,156.46,151.64,1678939200000,676097
98944633.0,155.3402,156.08,155.0,156.74,154.28,1679025600000,615778
72711415.0,156.6059,155.07,157.4,157.82,154.15,1679284800000,628984
73938285.0,158.3406,157.32,159.28,159.4,156.54,1679371200000,590982
75349311.0,159.6832,159.3,157.83,162.14,157.81,1679457600000,656865
67482060.0,159.5685,158.83,158.93,161.5501,157.68,1679544000000,614268
59006343.0,159.2417,158.86,160.25,160.34,157.85,1679630400000,517531
52390266.0,159.0188,159.94,158.28,160.77,157.87,1679889600000,518436
45992152.0,156.9785,157.97,157.65,158.49,155.98,1679976000000,432447
51305691.0,160.216,159.37,160.77,161.05,159.35,1680062400000,472077
49210289.0,162.0209,161.53,162.36,162.47,161.271,1680148800000,456152
68749792.0,164.0421,162.44,164.9,165.0,161.91,1680235200000,574409
56976187.0,165.3487,164.27,166.17,166.29,164.22,1680494400000,568686
46278295.0,165.9131,166.595,165.63,166.84,165.11,1680580800000,456306
51511744.0,163.4912,164.74,163.76,165.05,161.8,1680667200000,533621
45390123.0,164.0257,162.43,164.66,164.9584,162.0,1680753600000,446212
47670382.0,161.2628,161.42,162.03,162.03,160.08,1681099200000,563913
47494217.0,161.1314,162.35,160.8,162.36,160.51,1681185600000,490479
50133062.0,160.8845,161.22,160.1,162.06,159.78,1681272000000,514261
68418649.0,164.3531,161.63,165.56,165.8,161.42,1681358400000,595709
49314480.0,165.0394,164.59,165.21,166.32,163.82,1681444800000,489551
41516217.0,164.8044,165.09,165.23,165.39,164.03,1681704000000,483388
49915508.0,166.3535,166.1,166.47,167.41,165.65,1681790400000,494642
47621166.0,167.2806,165.8,167.63,168.16,165.54,1681876800000,473866
52456377.0,166.779,166.09,166.65,167.87,165.56,1681963200000,493153
57736141.0,165.0754,165.05,165.02,166.4521,164.49,1682049600000,520279
41449581.0,164.9397,165.0,165.33,165.6,163.89,1682308800000,459499
48652863.0,164.6479,165.19,163.77,166.305,163.73,1682395200000,501548
45487296.0,163.9084,163.055,163.76,165.28,162.8,1682481600000,493403
64898729.0,167.3197,165.19,168.41,168.56,165.19,1682568000000,575981
55275851.0,168.9479,168.49,169.68,169.85,167.8801,1682654400000,527763
52424936.0,169.6586,169.28,169.59,170.45,168.64,1682913600000,540745
48425696.0,168.6978,170.09,168.54,170.35,167.54,1683000000000,509755
65126998.0,169.013,169.5,167.45,170.92,167.16,1683086400000,610052
81225673.0,166.0983,164.89,165.79,167.04,164.31,1683172800000,832121
113402971.0,173.3116,170.975,173.57,174.3,170.76,1683259200000,915977
55962634.0,173.321,172.48,173.5,173.85,172.11,1683518400000,563138
45326874.0,172.3162,173.05,171.77,173.54,171.6,1683604800000,456209
53724501.0,173.1737,173.02,173.555,174.03,171.9,1683691200000,511486
49473076.0,173.4903,173.85,173.75,174.59,172.17,1683777600000,501955
45533138.0,172.3696,173.62,172.57,174.06,171.0,1683864000000,490533
37264259.0,172.1109,173.16,172.07,173.21,171.47,1684123200000,444785
42110293.0,172.2781,171.99,172.07,173.1383,171.7991,1684209600000,436165
57934404.0,171.85,171.71,172.69,172.925,170.4201,1684296000000,554940
65496657.0,174.3014,173.0,175.05,175.24,172.58,1684382400000,595692
55525641.0,175.5191,176.39,175.16,176.39,174.94,1684468800000,532731
43570932.0,174.1828,173.98,174.2,174.71,173.45,1684728000000,526393
50745163.0,172.1908,173.13,171.56,173.3794,171.275,1684814400000,535091
43711588.0,171.5088,171.09,171.84,172.4183,170.52,1684900800000,492275
55889523.0,172.8818,172.41,172.99,173.895,171.69,1684987200000,534909
54834975.0,175.1454,173.32,175.43,175.77,173.11,1685073600000,529918
55963954.0,177.4489,176.96,177.3,178.99,176.57,1685419200000,651318
