v,vw,o,c,h,l,t,n
5903824.0,164.5908,164.42,164.27,165.28,164.0401,1681185600000,83360
5764240.0,164.037,163.94,163.92,164.84,163.1,1681272000000,79854
5640617.0,165.399,164.18,166.11,166.33,163.805,1681358400000,78777
7225127.0,165.3042,165.97,165.84,166.115,164.06,1681444800000,96126
8046428.0,165.5408,165.735,165.67,166.24,164.94,1681704000000,99764
14571485.0,161.5438,164.25,161.01,164.69,159.65,1681790400000,196748
6752006.0,162.1933,161.99,162.53,162.68,161.17,1681876800000,95390
9498768.0,162.6592,162.43,163.58,163.82,160.96,1681963200000,118529
7014214.0,163.0556,164.44,162.69,164.97,161.97,1682049600000,95222
5278892.0,163.3101,162.69,163.68,163.805,161.87,1682308800000,83780
6263103.0,164.9875,164.31,165.18,165.35,164.155,1682395200000,90350
5518174.0,162.8713,164.09,162.62,164.39,162.24,1682481600000,83983
5739700.0,162.8233,162.9,163.0,163.4067,162.13,1682568000000,81205
6024864.0,163.3801,162.81,163.7,163.76,162.5566,1682654400000,71290
4893426.0,163.6679,163.6,163.6,164.298,162.24,1682913600000,70844
7541724.0,164.7127,164.34,165.03,165.48,163.555,1683000000000,101274
5937170.0,163.7131,165.55,162.87,166.18,162.51,1683086400000,85659
5127992.0,162.1599,162.68,162.13,162.9,161.25,1683172800000,76242
5194461.0,162.5148,162.84,162.68,163.13,161.69,1683259200000,73225
4994929.0,162.1907,161.99,162.31,162.57,161.34,1683518400000,70676
5520642.0,161.2207,161.75,161.05,162.13,160.79,1683604800000,72498
6756629.0,161.4083,161.2,161.65,161.97,160.06,1683691200000,72301
5867620.0,160.5415,161.83,160.99,162.19,159.3901,1683777600000,76812
3904327.0,160.6586,161.36,160.78,161.56,160.01,1683864000000,52690
5104486.0,159.6633,160.8,159.55,161.03,158.94,1684123200000,77468
5599505.0,159.4945,159.06,159.34,160.25,158.53,1684209600000,76569
6840687.0,158.8076,159.79,158.99,160.055,157.77,1684296000000,81101
5172966.0,158.3172,158.66,158.48,158.93,157.56,1684382400000,75700
6527141.0,159.0739,158.59,158.91,159.9344,158.14,1684468800000,73622
5675927.0,157.308,158.0,156.87,159.14,156.78,1684728000000,84680
5793009.0,157.1004,157.1,156.81,158.27,156.37,1684814400000,82689
5015148.0,156.641,157.08,156.66,157.14,155.92,1684900800000,76202
6886056.0,154.5362,156.05,154.41,156.29,153.72,1684987200000,99507
6845396.0,154.5443,154.69,154.35,155.275,154.2,1685073600000,85596
5593080.0,154.2285,153.97,154.37,155.38,153.32,1685419200000,91155
11324588.0,154.8698,154.695,155.06,155.69,153.85,1685505600000,90080
7901348.0,154.4073,154.54,154.54,155.04,153.15,1685592000000,102054
7607721.0,156.4943,154.72,156.97,157.31,154.09,1685678400000,94608
6828912.0,158.0114,156.75,158.32,158.64,156.39,1685937600000,99803
5073642.0,158.2661,159.58,158.18,159.61,157.4,1686024000000,80737
6504285.0,158.3503,158.1,158.52,158.8,157.44,1686110400000,84504
5818952.0,159.6029,158.5,160.26,160.42,157.82,1686196800000,77510
6264779.0,160.0696,160.42,160.01,160.725,159.465,1686283200000,88042
6511261.0,159.5762,160.0,159.9,160.25,158.73,1686542400000,84990
6066788.0,160.4022,159.73,160.74,160.84,159.15,1686628800000,80151
6699139.0,161.4376,161.6,161.56,162.08,160.98,1686715200000,102022
7138314.0,163.3206,162.05,163.73,163.91,161.43,1686801600000,97355
13426606.0,164.3647,164.48,164.23,164.99,163.87,1686888000000,95654
7996117.0,164.3971,164.26,164.13,165.31,163.81,1687233600000,93611
7177549.0,163.9471,163.58,163.88,164.92,162.69,1687320000000,83311
5486186.0,165.2566,163.9,165.62,165.72,163.79,1687406400000,84242
9450724.0,165.5288,166.11,165.48,166.27,165.03,1687492800000,85312
6868404.0,163.3031,164.98,163.63,164.98,161.33,1687752000000,107139
4927713.0,163.3836,163.68,163.29,163.88,162.44,1687838400000,73120
6780435.0,162.6675,163.2,162.96,163.2,161.91,1687924800000,88926
4547514.0,163.7792,162.64,164.1,164.32,162.23,1688011200000,64993
7568381.0,165.3679,164.86,165.52,165.94,164.35,1688097600000,90177
4033713.0,163.4352,164.34,163.35,164.39,162.96,1688356800000,70691
7225523.0,163.1038,162.99,162.81,163.92,162.73,1688529600000,100537
